page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
20,5,JP,,GE FR SW IT,,,,,
20,5,,,,,,,,
20,5,GP+,,,,,,,
20,5,,,GP- [RP-],,,,,
20,6,JP SW,,GE FR IT NL,,,,,
20,6,,,,,,,,
20,6,,,Classe homogène,,,,,
20,6,DY- RF-,,,,,,,
20,7,JP SW GE,,UK,,,,,
20,7,,,DY+,,,,,
20,7,DY- RF-,,,,,,,
20,8,JP SW GE,,FR IT BG,,,,,
20,8,,,,,,,,
20,8,,,Classe homogène,,,,,
20,8,DY- RF-,,,,,,,
20,9,JP,,"FR GE CN BG SP
NL IT UK",,,,,
20,9,,,DY+ RF+,,,,,
20,9,DY-,,,,,,,
20,10,JP,,SP IT,,,,,
20,10,,,RF+,,,,,
20,10,DY-,,,,,,,
21,1,CLASSE 1,,CLASSE 2,,,,,
21,2,1993,JP US,,"FR GE CN BG
IT SP NL UK",,SW,,
21,2,,,,RF+ DY+,,,,
21,2,,GP- [RP-],,,,,,
21,3,JP,,FR SP UK,,,,,
21,3,,,DY+,,,,,
21,3,DY-,,GP- [RP-],,,,,
21,4,1995,JP US GE SW,,"FR CN BG
SP NL UK",,IT,,
21,4,,,,DY+,,,,
21,4,,RF- DY-,,,,,,
21,5,JP SW,,IT SP UK,,,,,
21,5,,,RF+,,,,,
21,5,"DY- RF-
GP- [RP-]",,,,,,,
21,6,JP,,SW,,,,,
21,6,,,,,,,,
21,6,GP-,,DY-,,,,,
21,7,JP,,UK,,,,,
21,7,,,DY+,,,,,
21,7,RF-,,,,,,,
21,8,JP,,UK,,,,,
21,8,,,DY+ GP+ [RP+],,,,,
21,8,DY-,,,,,,,
21,9,JP,,"FR SW CN BG
IT NL UK",,,,,
21,9,,,DY+ GP+ [RP+],,,,,
21,9,DY-,,,,,,,
22,1,CLASSE 1,,CLASSE 2,,,,,
22,2,JP SW,,FR BG IT NL UK,,,,,
22,2,,,,,,,,
22,2,,,DY+,,,,,
22,2,DY- RF-,,,,,,,
22,3,JP SW,,"FR GE BG IT
NL UK",,,,,
22,3,,,DY+,,,,,
22,3,DY- RF-,,GP- [RP-],,,,,
22,4,JP SW,,FR BG IT NL UK,,,,,
22,4,,,DY+,,,,,
22,4,DY- RF-,,GP- [RP-],,,,,
22,5,JP SW,,BG IT,,,,,
22,5,,,GP+ [RP+],,,,,
22,5,DY- RF-,,,,,,,
22,6,JP SW,,"FR BG NL
UK IT",,,,,
22,6,GP+ [RP+],,DY+,,,,,
22,6,DY- RF-,,,,,,,
22,7,JP,,SW SP,,,,,
22,7,,,GP+ [RP+],,,,,
22,7,DY-,,,,,,,
22,8,JP SW,,"FR BG IT SP
NL UK",,,,,
22,8,,,DY+ RF+,,,,,
22,8,"DY- RF-
GP- [RP-]",,,,,,,
24,1,Classe 1,,,,,,,
24,1,3,,,,,,,
24,1,JP SW GE,,,,,,,
24,1,,,,,,,,
24,1,"DY–
1984 à 1998
GP–
1996
RF–
1984 à 2000
[RP– ]
1996",,,,,,,
26,1,"Indice boursier
Composition",,,,,,,
26,1,"Germany-DS Market
250 actions",,,,,,,
26,1,"Belgium-DS Market
90 actions",,,,,,,
26,1,"Canada-DS Market
248 actions",,,,,,,
26,1,"Spain-DS Market
120 actions",,,,,,,
26,1,"France-DS Market
249 actions",,,,,,,
26,1,"US-DS Market
996 actions",,,,,,,
26,1,"Italy-DS Market
158 actions",,,,,,,
26,1,"Japan-DS Market
994 actions",,,,,,,
26,1,"Netherlands-DS Market
116 actions",,,,,,,
26,1,"UK-DS Market
548 actions",,,,,,,
26,1,"Switz-DS market
150 actions",,,,,,,
27,1,"s2
e","s2
h
1","s2
h
2",α,β,,,
27,1,"2643,87
(0,00)","0
(-)","1,2 10-4
(0,00)","0,59
(0,84)","0,14
(0,00)",,,
27,1,"2143,08
(0,00)","6,51 10-9
(1,00)","3,38 10-3
(0,00)","0,87
(0,78)","0,12
(0,01)",,,
27,1,"1022,49
(0,00)","0,35
(0,45)","2,2 10-5
(0,00)","1,12
(0,56)","0,13
(0,03)",,,
27,1,"2321,57
(0,00)","3,14 10-10
(1,00)","2,8 10-3
(0,00)","-2,52
(0,48)","0,17
(0,00)",,,
27,1,"1619,71
(0,00)","2,28 10-10
(1,00)","3,47 10-2
(0,00)","-1,72
(0,56)","0,19
(0,00)",,,
27,1,"4105,16
(0,00)","6,52 10-6
(0,99)","6,9 10-3
(0,00)","1,08
(0,78)","0,18
(0,00)",,,
27,1,"1480,30
(0,00)","2,8 10-11
(1,00)","0,21
(0,00)","-1,13
(0,65)","0,15
(0,00)",,,
27,1,"1581,84
(0,00)","0
(-)","0
(-)","-0,241
(0,92)","0,15
(0,00)",,,
27,1,"1772,24
(0,00)","0
(-)","0
(-)","-3,11
(0,21)","0,14
(0,00)",,,
28,1,"s2
e","s2
h
1","s2
h
2",α,β,,,
28,1,"1540,71
(0,00)","0,27
(0,59)","8,22 10-3
(0,00)","-0,07
(0,98)","0,22
(0,53)",,,
28,1,"1826,21
(0,00)","0
(-)","0
(-)","-2,10
(0,48)","0,35
(0,00)",,,
28,1,"1422,26
(0,00)","0
(-)","1,68 10-4
(0,00)","-1,94
(0,40)","0,22
(0,06)",,,
28,1,"3165,29
(0,00)","0
(-)","3,86 10-4
(0,00)","2,50
(0,47)","0,25
(0,15)",,,
28,1,"934,49
(0,00)","0
(-)","6,69 10-4
(0,00)","-1,45
(0,44)","0,14
(0,39)",,,
28,1,"1380,22
(0,00)","14,98
10-14
(1,00)","3,07 10-4
(0,00)","0,53
(0,82)","0,62
(0,00)",,,
28,1,"1134,56
(0,00)","4,53 10-12
(1,00)","1,42 10-15
(1,00)","-3,11
(0,11)","0,49
(0,00)",,,
29,1,PRA,,,,,,,
29,1,RP,GP,DY,,,,,
29,1,"4,08","11,63","3,58",,,,,
29,1,"23,50","28,41","3,28",,,,,
29,1,"17,22","23,26","2,72",,,,,
29,1,"-21,86","-16,15","2,54",,,,,
29,1,"19,44","25,70","2,99",,,,,
29,1,"12,22","16,03","2,73",,,,,
29,1,"-32,06","-25,93","3,14",,,,,
29,1,"11,20","17,04","3,24",,,,,
29,1,"-8,07","-2,78","3,26",,,,,
29,1,"23,53","27,92","2,79",,,,,
29,1,"-12,17","-7,35","2,53",,,,,
29,1,"8,15","13,11","2,64",,,,,
29,1,"16,43","20,58","2,45",,,,,
29,1,"19,54","23,16","1,99",,,,,
29,1,"14,91","17,66","1,75",,,,,
29,1,"19,01","21,69","1,71",,,,,
29,1,"-8,62","-5,19","1,59",,,,,
