page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
22,1,1931,Origine raciale,"T : Français
M : Patrilinéaire",T : Indien,"T : S/O
M : Matrilinéaire, incluant le nom de la
tribu",T : Esquimau,,
22,1,,,,"M : Matrilinéaire, incluant le nom de
la tribu",,M : Matrilinéaire,,
22,1,1941,Origine raciale,"T : Français
M : Patrilinéaire","T : Indien
M : Patrilinéaire","T : Métis
M : Complexe (Parents Indien et Blanc)","T : Esquimau
M : Patrilinéaire",,
23,1,Année,Appellation,Français,Indien,Métis,Inuit,,
23,1,1951,Origine,"T : Français
M : Patrilinéaire",T : Indien,"T : S/O
M : Si dans une réserve, Indien. Si hors
réserve, patrilinéaire.",T : Esquimau,,
23,1,,,,M : Patrilinéaire,,M : Patrilinéaire,,
23,1,1961,"Groupe ethnique
ou culturel","T : Français
M : Patrilinéaire",T : Indien de naissance,"T : S/O
M : Si dans une réserve, Indien, incluant
appartenance à une bande. Si hors
réserve, patrilinéaire.",T : Esquimau,,
23,1,,,,"M : Patrilinéaire, incluant l’apparte-
nance à une bande",,M : Patrilinéaire,,
23,1,1971 (1),"Groupe ethnique
ou culturel","T : Français
M : Patrilinéaire",T : Indien nord-américain,"T : S/O
M : Si dans une réserve, Indien, incluant
appartenance à une bande. Si hors
réserve, patrilinéaire.",T : Esquimau,,
23,1,,,,"M : Patrilinéaire, incluant l’apparte-
nance à une bande",,M : Patrilinéaire,,
23,1,1981 (2),"Groupe ethnique
ou culturel","T : Français
M : Ambilinéaire","T : Indien
M : Ambilinéaire, incluant l’inscription
au Registre des Indiens","T : Métis
M : Ambilinéaire","T : Inuit
M : Ambilinéaire",,
24,1,Année,Appellation,Français,Indien,Métis,Inuit,,
24,1,1986,"Groupe ethnique
ou culturel","T : Français
M : Ambilinéaire",T : Indien de l’Amérique du Nord,T : S/O,T : Esquimau,,
24,1,,,,M : Ambilinéaire,M : Ambilinéaire,M : Ambilinéaire,,
24,1,1991,"Groupe ethnique
ou culturel","T : Français
M : Ambilinéaire",T : Indien de l’Amérique du Nord,T : S/O,T : Esquimau,,
24,1,,,,M : Ambilinéaire,M : Ambilinéaire,M : Ambilinéaire,,
24,1,1996,"Groupe ethnique
ou culturel","T : Français
M : Ambilinéaire",T : Indien de l’Amérique du Nord,T : S/O,T : Esquimau,,
24,1,,,,M : Ambilinéaire,M : Ambilinéaire,M : Ambilinéaire,,
24,1,2001,"Groupe ethnique
ou culturel","T : Français
M : Ambilinéaire",T : Indien de l’Amérique du Nord,T : S/O,T : Esquimau,,
24,1,,,,M : Ambilinéaire,M : Ambilinéaire,M : Ambilinéaire,,
24,1,2006,"Groupe ethnique
ou culturel","T : Français
M : Ambilinéaire",T : Indien de l’Amérique du Nord,T : S/O,T : Esquimau,,
24,1,,,,M : Ambilinéaire,M : Ambilinéaire,M : Ambilinéaire,,
25,1,Année,Origine autochtone,,,,Total,,
25,1,,Total,"Indien de l’Amérique
du Nord",Métis,Inuit,,,
25,1,1901,127 941,93 460,34 481,,5 371 315,,
25,1,Taux 1901-1911,"-1,9 %","1,2 %",,,"3,0 %",,
25,1,1911,105 611,105 611,,,7 206 643,,
25,1,Taux 1911-1921,"0,8 %","0,5 %",,,"2,0 %",,
25,1,1921,114 083,110 814,,3 269,8 788 483,,
25,1,Taux 1921-1931,"1,2 %","1,0 %",,"6,2 %","1,7 %",,
25,1,1931,128 890,122 911,,5 979,10 376 786,,
25,1,Taux 1931-1941,"2,2 %","-0,4 %",,"1,9 %","1,0 %",,
25,1,1941,160 937,118 316,35 416,7 205,11 506 655,,
25,1,Taux 1941-1951,"0,3 %","2,8 %",,"3,1 %","2,0 %",,
25,1,1951,165 607,155 874,,9 733,14 009 429,,
25,1,Taux 1951-1961,"2,9 %","2,9 %",,"2,0 %","2,7 %",,
25,1,1961,220 121,208 286,,11 835,18 238 247,,
25,1,Taux 1961-1971,"3,6 %","3,5 %",,"4,0 %","1,7 %",,
25,1,1971,312 765,295 215,,17 550,21 568 310,,
25,1,Taux 1971-1981,"4,6 %","2,2 %",,"3,8 %","1,1 %",,
25,1,1981,491 465,367 810,98 260,25 390,24 083 495,,
25,1,Taux 1981-1986,"7,7 %","8,3 %","9,1 %","7,5 %","0,8 %",,
25,1,19861,711 720,548 955,151 610,36 460,25 022 010,,
25,1,Taux 1986-1991,"7,1 %","7,4 %","7,0 %","6,2 %","1,5 %",,
25,1,19912,1 002 675,783 980,212 650,49 255,26 994 045,,
25,1,Taux 1991-1996,"1,9 %","2,0 %","0,7 %","0,2 %","1,1 %",,
25,1,1996,1 101 960,867 225,220 735,49 845,28 528 125,,
25,1,Taux 1996-2001,"3,7 %","2,9 %","6,9 %","2,5 %","0,8 %",,
25,1,2001,1 319 890,1 000 890,307 845,56 330,29 639 035,,
25,1,Taux 2001-2006,"4,9 %","4,6 %","5,9 %","3,2 %","1,1 %",,
25,1,2006,1 678 235,1 253 620,409 075,65 890,31 241 030,,
26,1,Année,Origine autochtone,,,,Total,,
26,1,,Total,"Indien de l’Amérique
du Nord",Métis,Inuit,,,
26,1,1901,10 142,,,,1 648 898,,
26,1,Taux 1901-1911,"1,7 %",,,,"2,0 %",,
26,1,1911,11 997,,,,2 005 776,,
26,1,Taux 1911-1921,"0,7 %",,,,"1,6 %",,
26,1,1921,11 234,,,,2 360 665,,
26,1,Taux 1921-1931,"1,8 %",,,,"2,0 %",,
26,1,1931,13 471,,,,2 874 255,,
26,1,Taux 1931-1941,"1,2 %",,,,"1,5 %",,
26,1,1941,15 186,11 863,1 545,1 778,3 331 882,,
26,1,Taux 1941-1951,"0,9 %","2,1 %",,"1,1 %","2,0 %",,
26,1,1951,16 620,14 631,,1 989,4 055 681,,
26,1,Taux 1951-1961,"2,5 %","2,6 %",,"2,2 %","2,6 %",,
26,1,1961,21 343,18 876,,2 467,5 259 211,,
26,1,Taux 1961-1971,"5,5 %","5,7 %",,"4,3 %","1,4 %",,
26,1,1971,36 590,32 835,,3 755,6 027 765,,
26,1,Taux 1971-1981,"3,7 %","2,0 %",,"2,6 %","0,6 %",,
26,1,1981,52 395,40 210,7 310,4 875,6 369 065,,
26,1,Taux 1981-1986,"9,1 %","9,6 %","9,4 %","8,6 %","0,3 %",,
26,1,19861,80 945,63 590,11 440,7 360,6 454 490,,
26,1,Taux 1986-1991,"11,2 %","12,1 %","11,2 %","2,9 %","1,1 %",,
26,1,19912,137 615,112 595,19 470,8 480,6 810 300,,
26,1,Taux 1991-1996,"0,7 %","0,1 %","2,5 %","2,2 %","0,7 %",,
26,1,1996,142 38,112 990,22 025,9 450,7 045 080,,
26,1,Taux 1996-2001,"2,3 %","2,9 %","-0,2 %","2,6 %","0,2 %",,
26,1,2001,159 905,130 160,21 760,10 750,7 125 580,,
26,1,Taux 2001-2006,"10,6 %","11,0 %","10,8 %","3,7 %","0,9 %",,
26,1,2006,264 195,219 810,36 275,12 920,7 435 900,,
27,1,"Statut légal
d’Indien",Origine ethnique,Total,Identité autochtone,,,,,"Identité
non autochtone"
27,1,,,,Total,"Indien
de l’Amérique
du Nord",Métis,Inuit,"Autochtones
multiples",
27,1,Total,Total,31 241 030,1 146 025,698 020,389 780,50 480,7 740,30 095 005
27,1,Avec statut,"Total
Autochtone / Total
Indien de l’Amérique du Nord
Métis
Inuit
Indien AN et non-Autochtone
Métis et non-Autochtone
Inuit et non-Autochtone
Autochtones multiples
Non-Autochtone / Total","623 780
583 150
421 115
7 575
755
129 295
10 480
615
13 315
40 630","602 965
572 140
415 695
7 440
735
124 430
10 090
595
13 150
30 820","564 870
538 610
411 545
1 065
130
115 010
960
70
9 825
26 260","34 280
29 945
3 820
6 235
10
8 685
8 890
95
2 205
4 330","1 365
1 280
65
0
585
10
0
415
200
85","2 450
2 305
265
140
15
720
240
10
910
140","20 815
11 010
5 420
135
20
4 865
390
20
165
9 810"
27,1,Sans statut,"Total
Autochtone / Total
Indien de l’Amérique du Nord
Métis
Inuit
Indien AN et non-Autochtone
Métis et non-Autochtone
Inuit et non-Autochtone
Autochtones multiples
Non-Autochtone / Total","30 617 250
1 095 085
91 035
69 720
40 225
564 065
275 270
18 000
36 775
29 522 160","543 065
462 325
41 080
60 470
38 465
133 635
151 635
9 475
27 565
80 735","133 155
108 415
29 950
940
160
73 535
2 085
60
1 680
24 740","355 505
300 785
10 775
59 355
150
58 700
148 850
585
22 375
54 715","49 115
48 355
55
10
38 140
45
0
8 760
1 340
760","5 290
4 775
305
165
20
1 350
700
65
2 175
515","30 074 185
632 760
49 955
9 250
1 760
430 430
123 635
8 525
9 210
29 441 425"
