page,table_id,col_1,col_2,col_3,col_4,col_5
30,1,ancienne (1 an < mobilité < 5 ans),,"0,032***","0,033***",
30,1,récente (mobilité < 1 an),,"0,048***","0,050***",
30,1,Groupe ethnoculturel [Francophones],,,,
30,1,anglophones,,"0,045*","0,027",
30,1,minorités visibles,,"-0,042**","-0,024",
30,1,immigrants anciens,,"-0,084***","-0,106***",
30,1,immigrants récents,,"-0,172***","-0,179***",
30,1,autres,,"-0,067***","-0,088***",
31,1,Type de famille X Groupe ethnoculturel,,,,
31,1,À couple en union libre X anglophones,,,"0,004",
31,1,À couple en union libre X minorités visibles,,,"-0,023",
31,1,À couple en union libre X immigrants anciens,,,"0,046",
31,1,À couple en union libre X immigrants récents,,,"0,001",
31,1,À couple en union libre X autres,,,"0,045***",
31,1,mono. (femme) X anglophones,,,"0,028",
31,1,mono. (femme) X minorités visibles,,,"-0,020",
31,1,mono. (femme) X immigrants anciens,,,"0,022",
31,1,mono. (femme) X immigrants récents,,,"0,063***",
31,1,mono. (femme) X autres,,,"0,015",
31,1,mono. (homme) X anglophones,,,"0,002",
31,1,mono. (homme) X minorités visibles,,,"-0,058",
31,1,mono. (homme) X immigrants anciens,,,"0,052†",
31,1,mono. (homme) X immigrants récents,,,"0,034",
31,1,mono. (homme) X autres,,,"0,045**",
31,1,Type de famille X Groupe ethnoculturel X revenu (ln),,,,
31,1,À couple marié X anglophones,,,"0,040",
31,1,À couple marié X minorités visibles,,,"0,074†",
31,1,À couple marié X immigrants anciens,,,"0,034†",
31,1,À couple marié X immigrants récents,,,"0,062***",
31,1,À couple marié X autres,,,"0,074***",
31,1,À couple en union libre X Francophones,,,"-0,025**",
31,1,À couple en union libre X anglophones,,,"0,009",
31,1,À couple en union libre X minorités visibles,,,"0,095†",
31,1,À couple en union libre X immigrants anciens,,,"0,072*",
31,1,À couple en union libre X immigrants récents,,,"0,046†",
31,1,À couple en union libre X autres,,,"0,010",
31,1,mono. (femme) X Francophones,,,"-0,006",
31,1,mono. (femme) X anglophones,,,"0,045†",
31,1,mono. (femme) X minorités visibles,,,"0,026",
31,1,mono. (femme) X immigrants anciens,,,"0,013",
31,1,mono. (femme) X immigrants récents,,,"0,073***",
31,1,mono. (femme) X autres,,,"0,040**",
32,1,mono. (homme) X Francophones,,,"-0,013",
32,1,mono. (homme) X anglophones,,,"-0,008",
32,1,mono. (homme) X minorités visibles,,,"-0,022",
32,1,mono. (homme) X immigrants anciens,,,"0,010",
32,1,mono. (homme) X immigrants récents,,,"0,105*",
32,1,mono. (homme) X autres,,,"0,091***",
32,1,Constante,"10,895***","11,005***","11,021***",
32,1,R2,"0,0342","0,3418","0,3464",
32,1,N,85 270,85 270,85 270,
