page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
22,1,Types de famille,"Groupe 1
Répondant vit
avec l’enfant, parle
de l’autre parent
Définition :
résidentielle","Groupe 2
Répondant vit
à temps partiel
avec l’enfant","Groupe 3
Répondant ne vit
pas avec l’enfant,
parle de son propre
comportement
Définition : réseau
extra-résidentiel",,,,
22,1,"Ensemble des pères
répondants
– Monoparentale-père
– Recomposée-belle-mère","21
24
14*","64
65
63","80
80
80",,,,
22,1,"Ensemble des mères
répondantes
– Monoparentale-mère
– Recomposée-beau-père","55
55
53","70
71
66*","36
35*
38*",,,,
22,1,Total,50,66,72,,,,
23,1,,"Distance :
% moins de 10 km","% Aucun
contact","Soutien
financier : % oui",Na,,,
23,1,Père rép.-résidant,44,11,21,128,,,
23,1,Mère rép- non rés.,36,21,36,157,,,
23,1,Différence entre les %,8,−10,−15*,,,,
23,1,Mère rép.-résidante,41,28,55,970,,,
23,1,Père rép.-non résidant,38,19,80,366,,,
23,1,Différence entre les %,3,9**,−25***,,,,
25,1,Répondant,Vit avec l’enfant,Temps partiel,Ne vit pas avec l’enfant,,,,
25,1,Père,44 833 $,50 813 $,42 570 $,,,,
25,1,Mère,25 869 $,30 481 $,17 719 $,,,,
32,1,,"a
N",201 62 747 322 8901,151 17 611 53 373,732 921 13 62 324,,,
32,1,"tnafne’l
te
tnadisér
non
tnerap
el
ertne
ecnatsiD",latoT,001 001 001 001 001,001 001 001 001 001,001 001 001 001 001,,,
32,1,,"mk
+
05",72 34 23 34 43,51 02 21 42 61,83 65 65 53 54,,,
32,1,,"mk
94-01",92 71 42 62 52,22 73 22 34 72,91 51 11 52 81,,,
32,1,,"mk
9-0",54 04 44 23 14,26 34 66 33 75,34 82 33 04 83,,,
32,1,,tnadnopéR,erèP erèP erèM erèM,erèP erèP erèM erèM,erèP erèP erèM erèM,,,
32,1,,"ellimaf
ed
epyT","erèm-elleb-eésopmoceR erèp-uaeb-eésopmoceR
erèp-elatneraponoM erèm-elatneraponoM
latoT","erèm-elleb-eésopmoceR erèp-uaeb-eésopmoceR
erèp-elatneraponoM erèm-elatneraponoM
latoT","erèm-elleb-eésopmoceR erèp-uaeb-eésopmoceR
erèp-elatneraponoM erèm-elatneraponoM
latoT",,,
32,1,,"ellimaf
al
ed
noitacifitnedi’d
erètirC","tiv
tnadnopér
: leutibah spmet
nielp
ud
leitnedisér
euqigoloib à
,eganém
erètirC
tnafne el
snad
.1","li’uq( ed
tiv tnemom
tnadnopér leitrap
: étpada
spmet ua
non
leitnedisér ud
euqigoloib à uo
,eganém
tnesérp
)etêuqne’l
erètirC
tnafne el été
snad
.2 tia",": leitnedisér-artxe
en
tnadnopér
eganém
ud
uaesér
euqigoloib
el
ud snad
erètirC
tnafne sap
.3 tiv",,,
33,1,,aN,99 92 187 742 6511,921 45 411 23 923,062 251 26 05 425,,,
33,1,,"stcatnoC : stceridni sniom .mes/siof
%
ua
1",46 05 64 03 54,48 87 17 36 77,86 45 66 46 36,,,
33,1,"tnadisér
non
tnerap
el
ceva
éssap
spmeT",N,49 72 827 242 1901,311 15 97 03 372,832 441 85 64 684,,,
33,1,,latoT,001 001 001 001 001,001 001 001 001 001,001 001 001 001 001,,,
33,1,,"spmet
éitioM
+
te
ud",51 11 5 01,09 49 06 26 08,01 3 62 12 11,,,
33,1,,"/siof ed éitiom
à
siom sniom
enU
al",06 26 74 34 84,01 6 04 83 02,26 85 93 04 65,,,
33,1,,"siom/siof
snioM enu’d",61 02 41 22 61,,31 41 8 72 41,,,
33,1,,nucuA,8 91 72 92 62,,51 52 72 31 91,,,
33,1,,tnadnopéR,erèP erèP erèM erèM,erèP erèP erèM erèM,erèP erèP erèM erèM,,,
33,1,,"ellimaf
ed
epyT","erèm-elleb-eésopmoceR erèp-uaeb-eésopmoceR
erèp-elatneraponoM erèm-elatneraponoM
latoT","erèm-elleb-eésopmoceR erèp-uaeb-eésopmoceR
erèp-elatneraponoM erèm-elatneraponoM
latoT","erèm-elleb-eésopmoceR erèp-uaeb-eésopmoceR
erèp-elatneraponoM erèm-elatneraponoM
latoT",,,
33,1,,"noitacifitnedi’d
ellimaf
erètirC
al
ed","tnadnopér
: leutibah
nielp
ud à
leitnedisér ,eganém
euqigoloib
el
erètirC
snad
tnafne spmet
tiv
.1","tnadnopér
uo )etêuqne’l
: étpada spmet tnesérp
leitnedisér ud à ,eganém été ed
euqigoloib
tnemom
tia
li’uq(
el
erètirC
snad ua
tnafne leitrap
non
.2 tiv","tnadnopér
-artxe eganém
ud
uaesér
euqigoloib el
snad
ud erètirC : leitnedisér sap
tnafne tiv
.3 en",,,
34,1,"Critère d’identification
de la famille",Type de famille,Répondant,"% qui
contribuent
au soutien
financier",Na,,,
34,1,"1. Critère résidentiel
habituel :
enfant biologique
du répondant vit dans le
ménage, à plein temps","Monoparentale-père
Recomposée-belle-mère
Monoparentale-mère
Recomposée-beau-père
Total","Père
Père
Mère
Mère","24
14
55
53
50","102
28
795
244
1169",,,
34,1,"2. Critère résidentiel adapté :
enfant biologique
du répondant vit dans le
ménage, à temps partiel
(qu’il ait été présent ou non
au moment de l’enquête)","Monoparentale-père
Recomposée-belle-mère
Monoparentale-mère
Recomposée-beau-père
Total","Père
Père
Mère
Mère","65
63
71
66
66","148
65
115
37
365",,,
34,1,"3. Critère du réseau
extra-résidentiel :
enfant biologique
du répondant ne vit pas dans
le ménage","Monoparentale-père
Recomposée-belle-mère
Monoparentale-mère
Recomposée-beau-père
Total","Père
Père
Mère
Mère","80
80
35
38
72","261
151
62
50
524",,,
