page,table_id,col_1,col_2,col_3,col_4,col_5
23,1,A-Problèmes d’accessibilité,,,,
23,1,Manque d’informations,"46,1",,,
23,1,Difficulté d’accès,"1,5",,,
23,1,Trop coûteux,"5,9",,,
23,1,Total,"53,5",,,
23,1,B- Barrières culturelles,,,,
23,1,Opposition personnelle,"10,4",,,
23,1,Opposition du partenaire,"9,7",,,
23,1,Opposition des autres,"0,7",,,
23,1,Obstacle religieux,"2,8",,,
23,1,Craintes pour la santé,"19,8",,,
23,1,Total,"43,5",,,
23,1,C- Raisons non spécifiées,,,,
23,1,Autres raisons,"1,8",,,
23,1,Ne sait pas,"1,2",,,
23,1,Total,"3,1",,,
23,1,Rapport (A)/(B),"1,2",,,
27,1,"Variables
socio-économiques","Femmes ayant rompu
leur union","Femmes
remariées","Femmes unies
avant 18 ans",
27,1,Lieu de résidence,,,,
27,1,Abidjan,"18,9","16,0","46,6",
27,1,Autres villes,"12,7","15,3","56,1",
27,1,Rural,"10,9","20,4","60,6",
27,1,Scolarisation,,,,
27,1,Non scolarisée,"10,3","18,8","60,3",
27,1,Au plus 6 années,"18,1","22,4","57,5",
27,1,Au moins 7 ans,"19,7","20,7","33,0",
27,1,Activité économique,,,,
27,1,Chômeuse,"12,1","14,9","54,2",
27,1,Agricole,"8,6","22,5","62,2",
27,1,Moderne,"17,4","19,8","53,6",
27,1,Religion,,,,
27,1,Chrétienne,"20,3","26,1","52,2",
27,1,Musulmane,"6,6","10,8","60,1",
27,1,Traditionnelle,"13,3","22,9","59,6",
27,1,Ethnie,,,,
27,1,Akan,"24,2","24,2","41,1",
27,1,Krou,"22,0","34,8","47,3",
27,1,Mandé du Nord,"7,4","17,5","56,8",
27,1,Mandé du Sud,"11,6","24,0","51,8",
27,1,Voltaïque,"6,0","17,3","58,6",
27,1,Autres,"5,4","8,8","55,6",
28,1,"Variables
socio-économiques",Femme (EDS I),,Femme (EDS II),
28,1,,Utilisatrices (%),RR,Utilisatrices (%),RR
28,1,Lieu de résidence,,,,
28,1,Abidjan,10,"4,0",14,"2,5"
28,1,Autres villes,8,"2,9",15,"2,7"
28,1,Milieu rural,3,"(1,0)",6,"(1,0)"
28,1,Scolarisation,,,,
28,1,Non scolarisée,2,"(1,0)",5,"(1,0)"
28,1,Au plus 6 ans,9,"3,6",12,"2,4"
28,1,Au moins 7 ans,15,"6,2",24,"4,5"
28,1,Activité économique,,,,
28,1,Chômeuse,5,"3,8",14,"4,9"
28,1,Moderne,8,"6,1",14,"5,1"
28,1,Agricole,1,"(1,0)",3,"(1,0)"
28,1,Religion,,,,
28,1,Chrétienne,8,"2,2",14,"2,4"
28,1,Musulmane,4,"1,0",6,"1,1"
28,1,Traditionnelle,4,"(1,0)",6,"(1,0)"
29,1,Variables,Modalités supposées :,,,
29,1,,De référence,À risque,,
29,1,"(1) Milieu de résidence
(2) Scolarisation
(3) Religion
(4) Activité (sont exclus les inactifs)
(5) Parité désirée
(6) Information sur la PF
(7) Avis du partenaire sur la PF
(8) Discussion du couple sur la PF
(9) Avis personnel sur la PF","Urbain (Abidjan, autres
villes)
Scolarisé (primaire,
secondaire, supérieur)
Chrétien (catholique,
protestant, évangélique)
Moderne (cadre, commerce,
service…)
Au plus 3 enfants
Informé (mieux, moyen et
peu informé)
Approuve
Discute (souvent, une ou
deux fois)
Approuve","Rural
Non scolarisé
Autres (musulman,
traditionnel, sans religion)
Agricole
Plus de 3 enfants
Pas du tout informé
Désapprouve
Ne discute pas du tout
Désapprouve",,
