page,table_id,col_1,col_2
7,1,"Relation de la Nouvelle-France 1673
BnF, NAF 7485 (papiers Renaudot)","Of New France
dans Louis Hennepin, A New Discovery of a Vast
Country in America, Extending above Four
Thousand Miles, between New France & New
Mexico ; with a Description of the Great Lakes,
Cataracts, Rivers, Plants, and Animals
(Londres, Henry Bonwicke, 1699), p. 174-176,
17,1,"il y a des bois des deux costez iusques
a la mer, les Cotoniers y sont si grands
qu’on en fait des Canots de 8 pieds de
long, et de 3 de large qui portent 30
hommes, il en vit 180 dans un village
de 300 Cabanes.","The Banks of that River are covered
with Woods down to the Sea ; but the
Cotton-Trees are so big, that I have
seen some Canows made of those
Trees, eighty Foot long, and three
broad, which carry thirty Men. I saw
180 of those Wooden Canows in one
Village of the Savages, consisting of
300 Cabins.","Il y a des bois de deux costés jusques a
la Mer ; les plus puissans des arbres
qu’on y void, sont une espece de
Costonier, qui sont extraordinaire-
ment gros et hauts, aussy les sauvages
s’en servent ils pour faire de Canots
tout d’une piece, de 50 pieds de long,
et trois de large, dans lesquels 30
hommes avec tout leur equipage
peuvent s’embarquer ils les travaillent
avec bien plus de politesse que nous
ne faisons les nostres, ils en ont un si
grand nombre, qu’a une seule bourgade
on en void jusqu’à Cent quatre vingts
ensemble. Placés ou proche la grande
riviere, ou plus loing dans les terres.
Nos voyageurs comptent plus de 80
bourgades, dont les pluspart sont
composées de 60 et 80 cabannes
quelques unes de 300 comme celle des
llinois qui a plus de huit mille ames."
17,1,"les sauvages y sont honnestes,
affables, et obligeans les premiers luy
donnerent un baston de Calumes
descoré de plumes qui est un passeport
asseure, mesme dans le combat on est
asseure de la vie.","These Sevages are affable, civil and
obliging, and the first I met with
presented me with a Pipe or Calumet
of Peace, which is a Protection even in
a Fight.","Pour les Sauvages qui les composent
paroissent d’un bon naturel, ils sont
affables et obligeans.
Nos françois ressentirent les effets de
cette civilité des la premiere bourgade
ou ils entrerent, car cest lors qu’on
leur fit present d’un baston de
Petunoir, long de trois pieds
environne [sic] et façonné de divers
plumages. Et qui est un grand mystere
parmy ces peuples pource qu’il est
comme un passeport et une
sauvegarde pour aller en assurance
partout, sans qu’on oze en qucune
façon offenser ceux qui portent ces
Caducés On n’a qu’a le montrer, et on
est asseuré de la vie, mesme dans le
plus fort combat …"
17,1,"Dans tous les villages les femmes qui
sont fort retenues et a qui l’on coupe le
né quand elles font mal, ont le soin de
la culture de la terre avec les viellards,
on fait du bled 3 fois l’année, il y en a
qui est meur, que l’autre sort de la
terre, on ne connoist l’hyver que par les
pluyes …","Their Women and old Men take care
of the Culture of the Ground, which is
so fertile as to afford three Crops of
Indian Corn every Year.","les femmes y sont fort retenües, aussy leur
couppe on le nez quand elles font mal.
… Ce sont elles qui avec les vieillards
ont le soin de la culture de la terre, Et
quand les semences sont faites tout
partent ensemble pour aller aux
environs a la chasse de beufs sauvages
dont ils se nourissent, Et se font des
habits de leurs peaux, qu’ils passent
avec une certaine terre qui leur sert
aussi de peinture …
Ce sol est si fertile qu’ils font trois fois
l’année du bled, il produit naturelle-
ment des fruits qui nous sont
inconnus, mais qui sont excellens, le
raisin, les prunes, les pommes, les
meurs, les marons, les grenades. Et
quantité d’autres se cueillent par tout,
et presque en tout temps, aussy n’y
connoit ton l’hiver que par les pluyes."
18,1,"Il y a … des bœufs qui ne fuyent pas, il
en a compté 400 dans une prairie",,"Les prairies et les forets partagent
egalement ce pays qui fournit de
beaux pasturages a un grand nombre
de bestes dont il est remply, les Bœufs
sauvages ne fuient jamais, le Pere en a
conté jusques a 400. en une bande"
18,1,"Le nommé Joliet qui estoit party de
Quebec par ordre de Mr de frontenac
pour la découverte de la mer du sud
auroit raporté une relation de son
voyage si a son retour après avoir
passé 42 rapides dans son Canot
n’avoit versé au pied du Saut s. Louis a
la veue de Montreal ou il perdit sa
cassette, et deux hommes …","Mr Joliet, who was sent by Count
Frontenac to discover a Way into the
South-Sea, brought un exact Account
of his Voyage, with a Map of it ; but his
Canow being overset at the foot of
the Fall of St. Louis, in sight of
Montroyal …","Il y a deux ans que Monsieur de
frontenac nostre gouverneur et
Mr Talon alors nostre Intendant,
jugerent qu’il estoit important de
s’appliquer a la decouverte de la mer
du midy, après celle qui a esté faicte
de la mer du Nord, et surtout de
scavoir dans quelle Mer s’alloit
decharger la grande riviere dont les
sauvages font tant de recit, et qui est
a 500 lieües d’icy, au dela des
Outaoüax dans ce dessein ils ne
purent faire choix de personne qui eut
de plus belles qualités que du Sr Joliet,
qui a beaucoup frequenté ce pays là …"
18,1,"il avoit fait enfin mention des lieux qui
estoient propres a faire de nouvelles
colonies, et de la beauté, et bonté des
terres.
Ces terres sont tres fertiles, et sont tres
bonnes, pour le uin, pour le bled et
pour tous les fruits.
La Riviere St Louis qui vient de proche
de Missichiaganen, luy a paru la plus
belle, et la plus facile pour estre habitée,
le [havre ?] par ou il est sorty dans le lac
est fort commode pour recevoir les
vaisseaux, et les mettre a l’abry du
vent, elle est large, et profonde
remplies de barbues desturgeons, et
les environs remplis de Gibier, les
Cerfs, les bœufs, et les Cocqs d’Indes y
paroissent en plus grand nombre
qu’ailleurs en l’espace de 80 lieues il n’a
pas este quart d’heure sans en voir.
Il y a des prairies de 3 de 6 de 10, et de
20 lieues de long, et de deux, et trois
de large entourées de forests de
mesme estendue au de la desquelles
les prairies recommencent en sorte //
qu’il y en a autant d’une costé que
d’autre par endroits, les herbes sont
petites, mais en d’autres de 3, 5 et 6
pieds de haut, la chanvre naturelle qui
vient sans semer monte iusques a 8
pieds, un habitant n’y seroit pas comme
icy dix ans a abbatre du bois, et a le
bruler, des le mesmes iour il mettroit la
Charrue dans la terre et s’il n’avoit pas
des bœufs de France, ceux du pays luy
serviroient, ou bien ces animaux qu’ont","The River of St. Lewis, which hath its
Source near Missichiganen, is the
biggest, and the most convenient for a
Colony, its mouth into the Lake being
very convenient for an Harbour. It is
deep and broad, and well stock’d
with Sturgeons, and other Fishes.
The Stags, Bulls, Wild-Goats,
Turky-Cocks, and other Game, are
more plentiful on the Banks of the
said River than any ewhere else.
There are Meadows ten or twenty
Leagues broad, encompass’d with fine
Forests ; behind which are other
Meadows, in which Grass grows six
Foot high. Hemp grows naturally in all
that Country.
Those who shall settle themselves there,
need not be oblig’d, as we are here, to
bestow Ten Years labour for felling
down the Trees, an grubbing up the
Land, before it is fit for Corn ; for the
Ground is ready for the Plough in that
fortunate Country, where they may
have good Wine. Their young Wild bulls
may be easily learn’d to plough their
Land ; and their long curl’d Hair, or
rather Wool, may serve to make good
Cloth for their Wearing. In short, that
Soil wou’d afford any thing necessary
for Life, except Salt, which they might
have another way.
Their young Wild Bulls may be easily
learn’d to plough their Land ; and their
long curl’d Hair, or rather Wool, may
serve to make good Cloth for their
wearing.","Un habitant n’emploiroit point les dix
années a abattre le bois et à le bruler,
des le meme iour quil y arriveroit il
mettroit la charrue en terre, & s’il
n’avoit pas des boeufs de france, il se
serveroit de ceux du Pays, ou de ces
animaux qu’ont les sauvages de
lOüest sur lesquels ils se font porter
coe nous sur nos cheuaux. Apres la
semence de toute sorte de grains il
sapliqueroit sur tout a planter de la
vigne Et a enter des arbres fruitiers, a
passer des peaux de bœufs dont ils se
feroient des souliers ; Et de leur laine
ils feroient des etoffes, qui seroient
beaucoup plus fines que celles que
nous apportons de France & ainsy ils
trouveroient de quoy se nourrir et se
couvrir, rien ne manquant que le sel,
mais il ne seroit pas bien difficile
d’obvier a cette inconvenient, par des
precautions qu’on peut prendre"
19,1,"les sauvages de louest sur lesquels ils
montent comme nous sur nos chevaux,
il feroit de bonnes vignes grefferoit des
arbres fruitiers se serviroit des peaux
de bœufs et feroit des estoffes de leur
laine plus fines que les couvertures
rouges, et bleues des Iroquois, Ainsi on
trouveroit dans ce pais, tout ce qui est
necessaire pour la vie, et la commodité
excepté le sel, qu’on tireroit d’ailleurs.
il mettroit la Charrue dans la terre et
s’il n’avoit pas des bœufs de France,
ceux du pays luy serviroient, ou bien ces
animaux qu’ont les Sauvages de louest
sur lesquels ils montent comme nous sur
nos chevaux …
il feroit de bonnes vignes grefferoit des
arbres fruitiers se serviroit des peaux de
bœufs et feroit des estoffes de leur laine
plus fines que les couvertures rouges, et
bleues des Iroquois …",,
19,1,"par endroits, les herbes sont petites,
mais en d’autres de 3, 5 et 6 pieds de
haut la chanvre naturelle qui vient
sans semer monte iusques a 8 pieds.","There are Meadows … in which Grass
grows six Foot high. Hemp grows
naturally in all that Country.","On rencontre quelques fois les herbes
fort basses quelquefois hautes de cinq
ou six pieds, le chanvre qui y croit
naturellement monte jusqu’à 8 pieds."
19,1,"Cette riviere ne serpente guerre, et va
touiours au sud estant decendus au
[33, 38 ?] degré pres de tomber entre
les mains des Espagnols qu’ils avoient
costoyé 6 iours, et voyant que la riviere
n’alloit pas a la mer vermeille qui est
ce que l’on cherche, et estant assuré
qu’il ny en a point d’autres, il se
resolut de retourner des portes de
l’Espagne, apres avoir interrogé les
sauvages qui n’en sont qu’a 30 lieues
du costé de louest, de ceux de
l’emboucheure qui n’en sont qu’a 50, il
dit de plus que dans le iournal quil avoit
fait estoit la description des Mines de
fer en abondance, quantité de pierre
sanguines avec le cuivre rouge qui
est marque de la mere mine …","The Mississipi has few Windings and
Turnings and runs directy to the
South, and having follow’d its Course
till the 33d Degree of Latitude, I
resolv’d to return home, seeing that
River did not discharge it self into Mar
Vermejo, which we look’d for, as also
because the Spaniards observ’d our
Motions for six Days together. The
Savages told me that the Spaniards live
within thirty Leagues to the
Westward.
The said M. Joliet adds, That he had set
down in his Journal an exact
Description of the Iron-Mines they
discover’d, as also of the Quill of Marble,
and Cole-Pits, and of Places where there
is Salt-Petre, with several other things.
He had also observ’d what were the
fittest Places to settle Colonies, &c.","C’est au milieu de ce beau pais que
nos voyageurs passoient avançant
sur la grande riviere jusqu’au
33e degré de l’elevation, [et allant
pr]esque toujours vers le midy : ils
rencontroient de temps en temps des
sauvages, desquels ils estoient bien
receus a la faveur de leur Caducée ou
baston de Petunoir, [Et sur la fin ils
aprirent d’eux, qu’ils approchoient des
habitations des Europeans & qu’ils n’en]
estoient esloignés que de trois journées,
puis de deux seulement, qu’ils avoient
a la main gauche, et qu’ils n’avoient
plus que 50 lieües pour se rendre a la
mer.
[Ce f]ut pour lors que ce pere et le
Sr Joliet delibererent sur ce qu’ils
avoient a faire, s[cavoir [s’il] e]toit
expedient de passer outre, ne
doutant point qu’ils n’allassent se
jetter entre les [ma]ins des Espagnols
de la floride …"
19,1,"Le nommé Joliet … auroit raporté une
relation de son voyage si a son retour
après avoir passé 42 rapides dans son
Canot n’avoit versé au pied du Saut s.
Louis a la veue de Montreal ou il
perdit sa cassettes, et deux hommes.
Il dit donc seulement de memoire
quelque chose de la charte quil avoit
faite avec exactitude selon les Rhums
des vents de cette maniere.","Mr Joliet … brought an exact Account
of his Voyage, with a Map of it ; But
his Canow being overset, at the Foot
of the Fall of St. Louis, in sight of
Montroyal, his Chest and his two Men
were lost ;
therefore the following Account
contains only what he has remembred.","le Sr Joliet, qui nous en apportoit la
relation, avec une carte tres exacte de
ces nouveaux pais, la perdue par le
naufrage qu’il a fait au dessus du Sault
Saint Louis, proche Montreal apres en
avoir franchy plus de 40."
